Cluster number,Household number,Line number,Cluster number,Household number,Man's line number,Interviewer number,Day of interview,Month of interview,Year of interview,Result of man's interview,Field editor,Data entry clerk,Start of interview - Hour,Start of interview - Minutes,End of interview - Hour,End of interview - Minutes,Month of birth of man,Year of birth of man,Age of man,Ever attended school,Highest level of school attended,Highest grade completed at that level,Can read part of the sentence,Frequency of reading newspaper or magazine,Frequency of listening to the radio,Frequency of watching TV,Ever used a computer,Computer usage in the last 12 months,Frequency of computer usage in the last month,Ever used internet,Internet usage in the last 12 months,Frequency of Internet usage in the past month,Ever used a mobile or non-mobile phone,Mobile or non-mobile phone usage in the last 12 months,Frequency of mobile or non-mobile usage in the past month,Ever fathered any children with any women,Age when first child was born,Any sons or daughters living with you,Sons living with you,Daughters living with you,Any sons or daughters not living with you,Sons living elsewhere,Daughters living elsewhere,Ever had child who later died,Boys dead,Girls dead,Children ever born,Same biological mother,Number of women respondent fathered children with,Month of last birth,Year of last birth,If she goes out with out telling husband: wife beating justified,If she neglects the children: wife beating justified,If she argues with husband: wife beating justified,If she refuses sex with husband: wife beating justified,If she burns the food: wife beating justified,MDV1F,Currently married or living with a man,Haveing other wives or liveing with other women as if you are married,How many other wives / partners living with you,Ever married or lived with a woman,Marital status,Married or lived with a woman once or more than once,Month of first union,Year of first union,Age at first union,Age at first sexual intercourse,Condom used during first sexual intercourse,Time since last sexual intercourse (unit),Time since last sexual intercourse (number),Condom used at last sexual intercourse,Relationship to last sexual partner,Sex with any other person in the last 12 month,Condom used with prior sexual partner,Relationship to prior sexual partner,Sex with any other man in the last 12 months,Number of sex partners in last 12 months,Number of sex partners in lifetime,Ever heard of AIDS,Can avoid AIDS virus by having one uninfected partner,Can get AIDS virus through supernatural means,Can avoid AIDS virus by using a condom correctly every time,Can get AIDS virus from mosquito bites,Can get AIDS virus by sharing food with a person who has AIDS,Healthy-looking person may have AIDS virus,AIDS virus from mother to child during pregnancy,AIDS virus from mother to child during delivery,AIDS virus from mother to child through breastfeeding,Should female teacher with AIDS virus be allowed to teach in school,Would buy fresh vegetables from shopkeeper with AIDS virus,"If HH member became infected with AIDS virus, would want it to remain a secret",Willing to care for person with AIDS in household,Ever been tested for AIDS virus,Most recent time of testing for AIDS virus,Received results of AIDS virus test,Know a place to get AIDS virus test,Respondent is circumcised,Age at circumcision,Person performing circumcision,Place of circumcision,Ever tried cigarette smoking,Age when cigarette was smoked for the first time,Currently smoking cigarettes,Number of cigarettes smoked in the last 24 hours,Number of days when cigarettes were smoked in past month,Ever tried any smoked tobacco products other than cigarettes,Used any smoked tobacco products during the last month,Type of smoked tobacco product: Cigars,Type of smoked tobacco product: Water pipe,Type of smoked tobacco product: Cigarillos,Type of smoked tobacco product: Pipe,MTA8E,Type of smoked tobacco product: Other,Number of days when tobacco products where smoked in past month,Ever tried any form of smokeless tobacco products,Used any smokeless tobacco products during the last month,Type of smokeless tobacco product used: Snuff,Type of smokeless tobacco product used: Dip,Number of days when smokeless tobacco products where used in past month,Ever drunk alcohol,Age when alcohol was used for the first time,Number of days when at least one drink of alcohol was used in past month,Number of drinks usually consumed,Net number,Mosquito net observed,Brand/type of observed net,Months ago net obtained,Net treated with an insecticide when obtained,Net soaked or dipped since obtained,Months ago net soaked or dipped,Persons slept under mosquito net last night,Person 1 who slept under net,Person 2 who slept under net,Person 3 who slept under net,Person 4 who slept under net,Area,Region,Date of interview women (CMC),Date of birth of woman (CMC),Age,Date of marriage (CMC),Age at first marriage/union,Marital/Union status,Children ever born,Children surviving,Children dead,mwelevel,mnweight,Wealth index score,Wealth index quintiles,wscoreu,windex5u,wscorer,windex5r
1,17,1,1,17,1,14,7,4,2014,Completed,2,20,17.0,59.0,18.0,7.0,5.0,1984.0,29.0,Yes,Higher,31.0,,Almost every day,At least once a week,Less than once a week,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,No,,,,,,,,No,,,0.0,,,,,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,Only once,9.0,2013.0,,20.0,Yes,Days ago,0.0,No,Wife,No,,,,,5.0,Yes,Yes,No,Yes,No,No,Yes,DK,Yes,DK,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,No,,,,,No,,,,,,,,,No,,,,,Yes,16.0,0.0,,,,,,,,,,,,,,Urban,Bulawayo,1372,1013.0,25-29,1365.0,29.0,Currently married/in union,0.0,0.0,0.0,Higher,0.403797141860459,1.60367010204171,5,1.27255184167736,5.0,,
1,20,1,1,20,1,14,7,4,2014,Completed,2,20,17.0,32.0,17.0,42.0,5.0,1976.0,37.0,Yes,Higher,31.0,,At least once a week,Not at all,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,No,,,,,,,,No,,,0.0,,,,,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,Only once,2.0,2014.0,,37.0,No,Days ago,0.0,No,Wife,No,,,,,1.0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Less than 12 months ago,Yes,,No,,,,No,,,,,No,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,917.0,35-39,1370.0,37.0,Currently married/in union,0.0,0.0,0.0,Higher,0.403797141860459,1.54327702631422,5,1.08902631982422,5.0,,
2,1,1,2,1,1,9,8,4,2014,Completed,1,40,10.0,37.0,10.0,52.0,2.0,1973.0,41.0,Yes,Primary,17.0,Able to read whole sentence,Not at all,Almost every day,Less than once a week,No,,,No,,,Yes,Yes,Almost every day,Yes,21.0,Yes,1.0,1.0,Yes,1.0,0.0,No,,,3.0,No,2.0,5.0,2012.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,More than once,8.0,1991.0,,20.0,No,Days ago,0.0,Yes,Wife,No,,,,,5.0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,2 or more years ago,Yes,,No,,,,Yes,18.0,Yes,10.0,30.0,Yes,Yes,,,,,Rolled tobacco,,7.0,No,,,,,Yes,19.0,8.0,2.0,,,,,,,,,,,,,Urban,Bulawayo,1372,878.0,40-44,1100.0,18.0,Currently married/in union,3.0,3.0,0.0,Primary,1.03192602919895,0.878635263695964,4,-0.930720561098312,1.0,,
2,1,5,2,1,5,9,12,4,2014,Not at home,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0
2,1,8,2,1,8,9,8,4,2014,Completed,1,40,10.0,53.0,11.0,10.0,2.0,1993.0,21.0,Yes,Secondary,24.0,,Less than once a week,At least once a week,Less than once a week,No,,,No,,,Yes,Yes,Almost every day,No,,,,,,,,No,,,0.0,,,,,No,No,No,No,No,No,"No, not in union",,,No,,,,,,19.0,Yes,Months ago,7.0,Yes,Girlfriend,No,,,,,3.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,12-23 months ago,Yes,,No,,,,No,,,,,No,,,,,,,,,No,,,,,Yes,20.0,10.0,2.0,,,,,,,,,,,,,Urban,Bulawayo,1372,1118.0,20-24,,,Never married/in union,0.0,0.0,0.0,Secondary,1.03192602919895,0.878635263695964,4,-0.930720561098312,1.0,,
2,5,1,2,5,1,9,8,4,2014,Not at home,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,,,,,,,,,,0.0,0.0,0,0.0,0.0,0.0,0.0
2,7,1,2,7,1,9,12,4,2014,Completed,1,40,15.0,42.0,16.0,0.0,5.0,1987.0,26.0,Yes,Primary,16.0,Cannot read at all,,Almost every day,Not at all,No,,,No,,,Yes,Yes,Almost every day,Yes,23.0,Yes,1.0,0.0,No,,,No,,,1.0,Yes,,12.0,2011.0,No,No,No,No,No,No,"Yes, currently married",No (Only one),,,,Only once,1.0,2011.0,,20.0,Yes,Days ago,2.0,No,Wife,No,,,,,5.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Less than 12 months ago,Yes,,Yes,13.0,Traditional practitioner/family/friend,Circumcision done at home,Yes,21.0,No,,,No,,,,,,,,,No,,,,,Yes,18.0,0.0,,,,,,,,,,,,,,Urban,Bulawayo,1372,1049.0,25-29,1333.0,23.0,Currently married/in union,1.0,1.0,0.0,Primary,1.03192602919895,0.594823181887601,4,-1.79318301717754,1.0,,
2,10,1,2,10,1,6,12,4,2014,Completed,1,40,12.0,37.0,12.0,54.0,5.0,1990.0,23.0,Yes,Higher,0.0,,Almost every day,Almost every day,At least once a week,Yes,Yes,Almost every day,Yes,Yes,Almost every day,Yes,Yes,Almost every day,No,,,,,,,,No,,,0.0,,,,,Yes,No,Yes,No,No,No,"No, not in union",,,No,,,,,,17.0,No,Days ago,1.0,Yes,Girlfriend,No,,,,,10.0,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,16.0,No,,,No,,,,,,,,,No,,,,,Yes,15.0,0.0,,,,,,,,,,,,,,Urban,Bulawayo,1372,1085.0,20-24,,,Never married/in union,0.0,0.0,0.0,Higher,1.03192602919895,1.32464487197614,5,0.424635911893526,4.0,,
2,11,1,2,11,1,12,7,4,2014,Completed,1,40,10.0,19.0,10.0,32.0,9.0,1982.0,31.0,Yes,Secondary,24.0,,Less than once a week,At least once a week,At least once a week,Yes,Yes,Not at all,Yes,Yes,At least once a week,Yes,Yes,Not at all,Yes,27.0,No,,,Yes,1.0,0.0,No,,,1.0,Yes,,9.0,2010.0,No,No,No,No,No,Yes,"Yes, currently married",No (Only one),,,,More than once,1.0,2009.0,,22.0,Yes,Days ago,0.0,No,Wife,No,,,,,5.0,Yes,Yes,No,Yes,No,No,Yes,Yes,DK,DK,Yes,Yes,No,Yes,Yes,Less than 12 months ago,Yes,,No,,,,Yes,25.0,Yes,4.0,10.0,Yes,Yes,,,,,Rolled tobacco,,7.0,No,,,,,Yes,21.0,30.0,4.0,1.0,Observed,Olyset,1.0,,,,Yes,1.0,2.0,3.0,90.0,Urban,Bulawayo,1372,993.0,30-34,1309.0,26.0,Currently married/in union,1.0,1.0,0.0,Secondary,1.03192602919895,0.541829649060185,4,-1.95422243518762,1.0,,
2,13,1,2,13,1,12,7,4,2014,Completed,1,40,18.0,13.0,18.0,20.0,1.0,1990.0,24.0,Yes,Primary,15.0,Able to read whole sentence,Not at all,Almost every day,Less than once a week,No,,,No,,,Yes,Yes,Almost every day,No,,,,,,,,No,,,0.0,,,,,No,No,No,No,No,No,"No, not in union",,,No,,,,,,0.0,,,,,,,,,,,,Yes,Yes,No,Yes,Yes,DK,Yes,DK,Yes,DK,No,No,Yes,Yes,No,,,Yes,No,,,,No,,,,,No,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,Urban,Bulawayo,1372,1081.0,20-24,,,Never married/in union,0.0,0.0,0.0,Primary,1.03192602919895,0.926726961662812,4,-0.784577085876157,1.0,,
