raw,label
HH1,Cluster number
HH2,Household number
LN,Line number
MWM1,Cluster number
MWM2,Household number
MWM4,Man's line number
MWM5,Interviewer number
MWM6D,Day of interview
MWM6M,Month of interview
MWM6Y,Year of interview
MWM7,Result of man's interview
MWM8,Field editor
MWM9,Data entry clerk
MWM10H,Start of interview - Hour
MWM10M,Start of interview - Minutes
MWM11H,End of interview - Hour
MWM11M,End of interview - Minutes
MWB1M,Month of birth of man
MWB1Y,Year of birth of man
MWB2,Age of man
MWB3,Ever attended school
MWB4,Highest level of school attended
MWB5,Highest grade completed at that level
MWB7,Can read part of the sentence
MMT2,Frequency of reading newspaper or magazine
MMT3,Frequency of listening to the radio
MMT4,Frequency of watching TV
MMT6,Ever used a computer
MMT7,Computer usage in the last 12 months
MMT8,Frequency of computer usage in the last month
MMT9,Ever used internet
MMT10,Internet usage in the last 12 months
MMT11,Frequency of Internet usage in the past month
MMT12,Ever used a mobile or non-mobile phone
MMT13,Mobile or non-mobile phone usage in the last 12 months
MMT14,Frequency of mobile or non-mobile usage in the past month
MCM1,Ever fathered any children with any women
MCM3,Age when first child was born
MCM4,Any sons or daughters living with you
MCM5A,Sons living with you
MCM5B,Daughters living with you
MCM6,Any sons or daughters not living with you
MCM7A,Sons living elsewhere
MCM7B,Daughters living elsewhere
MCM8,Ever had child who later died
MCM9A,Boys dead
MCM9B,Girls dead
MCM10,Children ever born
MCM11A,Same biological mother
MCM11B,Number of women respondent fathered children with
MCM12M,Month of last birth
MCM12Y,Year of last birth
MDV1A,If she goes out with out telling husband: wife beating justified
MDV1B,If she neglects the children: wife beating justified
MDV1C,If she argues with husband: wife beating justified
MDV1D,If she refuses sex with husband: wife beating justified
MDV1E,If she burns the food: wife beating justified
MMA1,Currently married or living with a man
MMA3,Haveing other wives or liveing with other women as if you are married
MMA4,How many other wives / partners living with you
MMA5,Ever married or lived with a woman
MMA6,Marital status
MMA7,Married or lived with a woman once or more than once
MMA8M,Month of first union
MMA8Y,Year of first union
MMA9,Age at first union
MSB1,Age at first sexual intercourse
MSB2,Condom used during first sexual intercourse
MSB3U,Time since last sexual intercourse (unit)
MSB3N,Time since last sexual intercourse (number)
MSB4,Condom used at last sexual intercourse
MSB5,Relationship to last sexual partner
MSB8,Sex with any other person in the last 12 month
MSB9,Condom used with prior sexual partner
MSB10,Relationship to prior sexual partner
MSB13,Sex with any other man in the last 12 months
MSB14,Number of sex partners in last 12 months
MSB15,Number of sex partners in lifetime
MHA1,Ever heard of AIDS
MHA2,Can avoid AIDS virus by having one uninfected partner
MHA3,Can get AIDS virus through supernatural means
MHA4,Can avoid AIDS virus by using a condom correctly every time
MHA5,Can get AIDS virus from mosquito bites
MHA6,Can get AIDS virus by sharing food with a person who has AIDS
MHA7,Healthy-looking person may have AIDS virus
MHA8A,AIDS virus from mother to child during pregnancy
MHA8B,AIDS virus from mother to child during delivery
MHA8C,AIDS virus from mother to child through breastfeeding
MHA9,Should female teacher with AIDS virus be allowed to teach in school
MHA10,Would buy fresh vegetables from shopkeeper with AIDS virus
MHA11,"If HH member became infected with AIDS virus, would want it to remain a secret"
MHA12,Willing to care for person with AIDS in household
MHA24,Ever been tested for AIDS virus
MHA25,Most recent time of testing for AIDS virus
MHA26,Received results of AIDS virus test
MHA27,Know a place to get AIDS virus test
MMC1,Respondent is circumcised
MMC2,Age at circumcision
MMC3,Person performing circumcision
MMC4,Place of circumcision
MTA1,Ever tried cigarette smoking
MTA2,Age when cigarette was smoked for the first time
MTA3,Currently smoking cigarettes
MTA4,Number of cigarettes smoked in the last 24 hours
MTA5,Number of days when cigarettes were smoked in past month
MTA6,Ever tried any smoked tobacco products other than cigarettes
MTA7,Used any smoked tobacco products during the last month
MTA8A,Type of smoked tobacco product: Cigars
MTA8B,Type of smoked tobacco product: Water pipe
MTA8C,Type of smoked tobacco product: Cigarillos
MTA8D,Type of smoked tobacco product: Pipe
MTA8X,Type of smoked tobacco product: Other
MTA9,Number of days when tobacco products where smoked in past month
MTA10,Ever tried any form of smokeless tobacco products
MTA11,Used any smokeless tobacco products during the last month
MTA12A,Type of smokeless tobacco product used: Chewing tobacco
MTA12B,Type of smokeless tobacco product used: Snuff
MTA12C,Type of smokeless tobacco product used: Dip
MTA12X,Type of smokeless tobacco product used: Other
MTA13,Number of days when smokeless tobacco products where used in past month
MTA14,Ever drunk alcohol
MTA15,Age when alcohol was used for the first time
MTA16,Number of days when at least one drink of alcohol was used in past month
MTA17,Number of drinks usually consumed
TNLN,Net number
TN4,Mosquito net observed
TN5,Brand/type of observed net
TN6,Months ago net obtained
TN8,Net treated with an insecticide when obtained
TN9,Net soaked or dipped since obtained
TN10,Months ago net soaked or dipped
TN11,Persons slept under mosquito net last night
TN12_1,Person 1 who slept under net
TN12_2,Person 2 who slept under net
TN12_3,Person 3 who slept under net
TN12_4,Person 4 who slept under net
HH6,Area
HH7,Region
MWDOI,Date of interview women (CMC)
MWDOB,Date of birth of woman (CMC)
MWAGE,Age
MWDOM,Date of marriage (CMC)
MWAGEM,Age at first marriage/union
MWDOBLC,Date of birth of last child (CMC)
MMSTATUS,Marital/Union status
MCEB,Children ever born
MCSURV,Children surviving
MCDEAD,Children dead
wscore,Wealth index score
windex5,Wealth index quintiles
