"","HH1","HH2","LN","MWM1","MWM2","MWM4","MWM5","MWM6D","MWM6M","MWM6Y","MWM7","MWM8","MWM9","MWM10H","MWM10M","MWM11H","MWM11M","MWB1M","MWB1Y","MWB2","MWB3","MWB4","MWB5","MWB7","MMT2","MMT3","MMT4","MMT6","MMT7","MMT8","MMT9","MMT10","MMT11","MMT12","MMT13","MMT14","MCM1","MCM3","MCM4","MCM5A","MCM5B","MCM6","MCM7A","MCM7B","MCM8","MCM9A","MCM9B","MCM10","MCM11A","MCM11B","MCM12M","MCM12Y","MDV1A","MDV1B","MDV1C","MDV1D","MDV1E","MDV1F","MMA1","MMA3","MMA4","MMA5","MMA6","MMA7","MMA8M","MMA8Y","MMA9","MSB1","MSB2","MSB3U","MSB3N","MSB4","MSB5","MSB8","MSB9","MSB10","MSB13","MSB14","MSB15","MHA1","MHA2","MHA3","MHA4","MHA5","MHA6","MHA7","MHA8A","MHA8B","MHA8C","MHA9","MHA10","MHA11","MHA12","MHA24","MHA25","MHA26","MHA27","MMC1","MMC2","MMC3","MMC4","MTA1","MTA2","MTA3","MTA4","MTA5","MTA6","MTA7","MTA8A","MTA8B","MTA8C","MTA8D","MTA8E","MTA8X","MTA9","MTA10","MTA11","MTA12A","MTA12B","MTA12C","MTA12X","MTA13","MTA14","MTA15","MTA16","MTA17","TNLN","TN4","TN5","TN6","TN8","TN9","TN10","TN11","TN12_1","TN12_2","TN12_3","TN12_4","HH6","HH7","MWDOI","MWDOB","MWAGE","MWDOM","MWAGEM","MWDOBLC","MMSTATUS","MCEB","MCSURV","MCDEAD","mwelevel","mnweight","wscore","windex5","wscoreu","windex5u","wscorer","windex5r"
"1",1,17,1,1,17,1,14,7,4,2014,"Completed",2,20,17,59,18,7,5,1984,29,"Yes","Higher",31,NA,"Almost every day","At least once a week","Less than once a week","Yes","Yes","Almost every day","Yes","Yes","Almost every day","Yes","Yes","Almost every day","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"Only once",9,2013,NA,20,"Yes","Days ago",0,"No","Wife","No",NA,NA,NA,NA,5,"Yes","Yes","No","Yes","No","No","Yes","DK","Yes","DK","Yes","Yes","No","Yes","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,1013,"25-29",1365,29,NA,"Currently married/in union",0,0,0,"Higher",0.403797141860459,1.60367010204171,5,1.27255184167736,5,NA,NA
"2",1,20,1,1,20,1,14,7,4,2014,"Completed",2,20,17,32,17,42,5,1976,37,"Yes","Higher",31,NA,"At least once a week","Not at all","Almost every day","Yes","Yes","Almost every day","Yes","Yes","Almost every day","Yes","Yes","Almost every day","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"Only once",2,2014,NA,37,"No","Days ago",0,"No","Wife","No",NA,NA,NA,NA,1,"Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,917,"35-39",1370,37,NA,"Currently married/in union",0,0,0,"Higher",0.403797141860459,1.54327702631422,5,1.08902631982422,5,NA,NA
"3",2,1,1,2,1,1,9,8,4,2014,"Completed",1,40,10,37,10,52,2,1973,41,"Yes","Primary",17,"Able to read whole sentence","Not at all","Almost every day","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","Yes",21,"Yes",1,1,"Yes",1,0,"No",NA,NA,3,"No",2,5,2012,"No","No","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"More than once",8,1991,NA,20,"No","Days ago",0,"Yes","Wife","No",NA,NA,NA,NA,5,"Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","2 or more years ago","Yes",NA,"No",NA,NA,NA,"Yes",18,"Yes",10,30,"Yes","Yes",NA,NA,NA,NA,"Rolled tobacco",NA,7,"No",NA,NA,NA,NA,NA,NA,"Yes",19,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,878,"40-44",1100,18,NA,"Currently married/in union",3,3,0,"Primary",1.03192602919895,0.878635263695964,4,-0.930720561098312,1,NA,NA
"4",2,1,5,2,1,5,9,12,4,2014,"Not at home",1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"5",2,1,8,2,1,8,9,8,4,2014,"Completed",1,40,10,53,11,10,2,1993,21,"Yes","Secondary",24,NA,"Less than once a week","At least once a week","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","No","No","No","No","No, not in union",NA,NA,"No",NA,NA,NA,NA,NA,19,"Yes","Months ago",7,"Yes","Girlfriend","No",NA,NA,NA,NA,3,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","12-23 months ago","Yes",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",20,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,1118,"20-24",NA,NA,NA,"Never married/in union",0,0,0,"Secondary",1.03192602919895,0.878635263695964,4,-0.930720561098312,1,NA,NA
"6",2,5,1,2,5,1,9,8,4,2014,"Not at home",1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"7",2,7,1,2,7,1,9,12,4,2014,"Completed",1,40,15,42,16,0,5,1987,26,"Yes","Primary",16,"Cannot read at all",NA,"Almost every day","Not at all","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","Yes",23,"Yes",1,0,"No",NA,NA,"No",NA,NA,1,"Yes",NA,12,2011,"No","No","No","No","No","No","Yes, currently married","No (Only one)",NA,NA,NA,"Only once",1,2011,NA,20,"Yes","Days ago",2,"No","Wife","No",NA,NA,NA,NA,5,"Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Less than 12 months ago","Yes",NA,"Yes",13,"Traditional practitioner/family/friend","Circumcision done at home","Yes",21,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,1049,"25-29",1333,23,NA,"Currently married/in union",1,1,0,"Primary",1.03192602919895,0.594823181887601,4,-1.79318301717754,1,NA,NA
"8",2,10,1,2,10,1,6,12,4,2014,"Completed",1,40,12,37,12,54,5,1990,23,"Yes","Higher",0,NA,"Almost every day","Almost every day","At least once a week","Yes","Yes","Almost every day","Yes","Yes","Almost every day","Yes","Yes","Almost every day","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"Yes","No","Yes","No","No","No","No, not in union",NA,NA,"No",NA,NA,NA,NA,NA,17,"No","Days ago",1,"Yes","Girlfriend","No",NA,NA,NA,NA,10,"Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"Yes",16,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Yes",15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,1085,"20-24",NA,NA,NA,"Never married/in union",0,0,0,"Higher",1.03192602919895,1.32464487197614,5,0.424635911893526,4,NA,NA
"9",2,11,1,2,11,1,12,7,4,2014,"Completed",1,40,10,19,10,32,9,1982,31,"Yes","Secondary",24,NA,"Less than once a week","At least once a week","At least once a week","Yes","Yes","Not at all","Yes","Yes","At least once a week","Yes","Yes","Not at all","Yes",27,"No",NA,NA,"Yes",1,0,"No",NA,NA,1,"Yes",NA,9,2010,"No","No","No","No","No","Yes","Yes, currently married","No (Only one)",NA,NA,NA,"More than once",1,2009,NA,22,"Yes","Days ago",0,"No","Wife","No",NA,NA,NA,NA,5,"Yes","Yes","No","Yes","No","No","Yes","Yes","DK","DK","Yes","Yes","No","Yes","Yes","Less than 12 months ago","Yes",NA,"No",NA,NA,NA,"Yes",25,"Yes",4,10,"Yes","Yes",NA,NA,NA,NA,"Rolled tobacco",NA,7,"No",NA,NA,NA,NA,NA,NA,"Yes",21,30,4,1,"Observed","Olyset",1,NA,NA,NA,"Yes",1,2,3,90,"Urban","Bulawayo",1372,993,"30-34",1309,26,NA,"Currently married/in union",1,1,0,"Secondary",1.03192602919895,0.541829649060185,4,-1.95422243518762,1,NA,NA
"10",2,13,1,2,13,1,12,7,4,2014,"Completed",1,40,18,13,18,20,1,1990,24,"Yes","Primary",15,"Able to read whole sentence","Not at all","Almost every day","Less than once a week","No",NA,NA,"No",NA,NA,"Yes","Yes","Almost every day","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,0,NA,NA,NA,NA,"No","No","No","No","No","No","No, not in union",NA,NA,"No",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes","DK","Yes","DK","Yes","DK","No","No","Yes","Yes","No",NA,NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Bulawayo",1372,1081,"20-24",NA,NA,NA,"Never married/in union",0,0,0,"Primary",1.03192602919895,0.926726961662812,4,-0.784577085876157,1,NA,NA
